Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
2021,MA,Norfolk County,Canton,5/31/2022,6.1
2025,MA,Norfolk County,Cohasset,5/31/2022,6.8
2026,MA,Norfolk County,Dedham,5/31/2022,5.9
2030,MA,Norfolk County,Dover,5/31/2022,5.9
2032,MA,Norfolk County,Walpole,5/31/2022,6.3
2035,MA,Norfolk County,Foxborough,5/31/2022,5.9
2038,MA,Norfolk County,Franklin,5/31/2022,6.1
2043,MA,Plymouth County,Hingham,5/31/2022,5.6
2045,MA,Plymouth County,Hull,5/31/2022,5.5
2047,MA,Plymouth County,Scituate,5/31/2022,6.1
2048,MA,Bristol County,Mansfield,5/31/2022,6.3
2050,MA,Plymouth County,Marshfield,5/31/2022,6.4
2051,MA,Plymouth County,Marshfield,5/31/2022,6.4
2052,MA,Norfolk County,Medfield,5/31/2022,6.2
2053,MA,Norfolk County,Medway,5/31/2022,6.5
2054,MA,Norfolk County,Millis,5/31/2022,6.3
2056,MA,Norfolk County,Norfolk,5/31/2022,6.6
2059,MA,Plymouth County,Marshfield,5/31/2022,6.4
2061,MA,Plymouth County,Norwell,5/31/2022,6
2062,MA,Norfolk County,Norwood,5/31/2022,6.1
2066,MA,Plymouth County,Scituate,5/31/2022,6
2067,MA,Norfolk County,Sharon,5/31/2022,5.8
2071,MA,Norfolk County,Walpole,5/31/2022,5.9
2072,MA,Norfolk County,Stoughton,5/31/2022,6.3
2081,MA,Norfolk County,Walpole,5/31/2022,6.1
2090,MA,Norfolk County,Westwood,5/31/2022,6.3
2093,MA,Norfolk County,Wrentham,5/31/2022,5.9
2108,MA,Suffolk County,Boston,5/31/2022,4.3
2109,MA,Suffolk County,Boston,5/31/2022,4.4
2110,MA,Suffolk County,Boston,5/31/2022,3.9
2111,MA,Suffolk County,Boston,5/31/2022,4
2113,MA,Suffolk County,Boston,5/31/2022,4.5
2114,MA,Suffolk County,Boston,5/31/2022,4.4
2115,MA,Suffolk County,Boston,5/31/2022,4.1
2116,MA,Suffolk County,Boston,5/31/2022,4.3
2118,MA,Suffolk County,Boston,5/31/2022,4.3
2119,MA,Suffolk County,Boston,5/31/2022,5.3
2120,MA,Suffolk County,Boston,5/31/2022,4.4
2121,MA,Suffolk County,Boston,5/31/2022,4.6
2122,MA,Suffolk County,Boston,5/31/2022,4.4
2124,MA,Suffolk County,Boston,5/31/2022,4.9
2125,MA,Suffolk County,Boston,5/31/2022,4.5
